kaks	frequency
0.078485	A
0.0712646	A
0.0652055	A
0.0985295	A
0.112738	A
0.112738	A
0.097815	A
0.0492612	A
0.0492296	A
0.0874779	A
0.0874779	A
0.131286	A
0.0985295	A
0.0985295	A
0.065921	A
0.0985295	A
0.097815	A
0.0564011	A
0.083477	A
0.0564114	A
0.198851	A
0.0769419	A
0.0659631	A
0.0993662	A
0.0992397	A
0.0659631	A
0.0519753	A
0.0659631	A
0.132811	A
0.132666	A
0.0659631	A
0.198531	A
0.0437919	A
0.0994927	A
0.113172	A
0.113172	A
0.0660473	A
0.132189	A
0.135027	A
0.0565094	A
0.113172	A
0.132811	A
0.132189	A
0.0794003	A
0.0565455	A
0.0565455	A
0.0565094	A
0.131936	A
0.0781555	A
0.0659631	A
0.0659631	A
0.0563651	A
0.0991765	A
0.079198	A
0.132558	A
0.0564733	A
0.0792485	A
0.0659631	A
0.198874	A
0.132558	A
0.087534	A
0.087534	A
0.0659631	A
0.0792485	A
0.0326215	A
0.087534	A
0.0564372	A
0.132811	A
0.0793497	A
0.0714022	A
0.0326425	A
0.0493243	A
0.132811	A
0.113027	A
0.0565816	A
0.0493243	A
0.0393154	A
0.0786364	A
0.0660052	A
0.112759	A
0.0785859	A
0.0793497	A
0.0564372	A
0.0393154	A
0.0493243	A
0.0565094	A
0.0714022	A
0.0564733	A
0.0987821	A
0.0646515	A
0.0713563	A
0.132811	A
0.0437638	A
0.087534	A
0.0786364	A
0.0661317	A
0.0660473	A
0.0660473	A
0.0393154	A
0.0660052	A
0.0393154	A
0.199194	A
0.132558	A
0.0881583	A
0.0816396	A
0.132558	A
0.065933	A
0.132642	A
0.0791114	A
0.0437078	A
0.0437078	A
0.0326635	A
0.132558	A
0.198965	A
0.0712646	A
0.132329	A
0.0992397	A
0.0937921	A
0.158813	A
0.132474	A
0.0659631	A
0.0492927	A
0.0815265	A
0.0874779	A
0.065921	A
0.0392649	A
0.0792991	A
0.198838	A
0.199194	A
0.398491	A
0.158711	A
0.199194	A
0.0659631	A
0.0992397	A
0.131226	A
0.0986512	A
0.0659631	A
0.132642	A
0.0564372	A
0.0565094	A
0.0787122	A
0.0658488	A
0.099005	A
0.112543	A
0.0436317	A
0.0829438	A
0.0990862	A
0.0355906	A
0.198151	A
0.112759	A
0.0392217	A
0.398415	A
0.112615	A
0.198151	A
0.397988	A
0.0791619	A
0.0658488	A
0.0491756	A
0.0436317	A
0.0991313	A
0.0491441	A
0.0658067	A
0.0492702	A
0.130201	A
0.132329	A
0.0436317	A
0.107018	A
0.112615	A
0.112759	A
0.0392217	A
0.198151	A
0.0658067	A
0.132245	A
0.0984213	A
0.0791619	A
0.0436797	A
0.0847862	A
0.0493243	A
0.0831738	A
0.0437358	A
0.0437558	A
0.0493243	A
0.0437358	A
0.0492612	A
0.0792485	A
0.132329	A
0.0660052	A
0.0564011	A
0.132329	A
0.0564011	A
0.132329	A
0.0993662	A
0.0437358	A
0.099005	A
0.0437358	A
0.0392397	A
0.0493107	A
0.398491	A
0.199447	A
0.132811	A
0.0993662	A
0.0393406	A
0.0565094	A
0.0994927	A
0.0660473	A
0.398491	A
0.0565094	A
0.113172	A
0.0660895	A
0.132896	A
0.113027	A
0.132896	A
0.0392397	A
0.0492927	A
0.0562673	A
0.0646814	A
0.0436797	A
0.0564011	A
0.112543	A
0.158408	A
0.132642	A
0.0564733	A
0.0356298	A
0.0785859	A
0.112883	A
0.0785498	A
0.398166	A
0.0492296	A
0.0986377	A
0.0873657	A
0.0658789	A
0.199701	A
0.0660473	A
0.0564372	A
0.048636	A
0.0492927	A
0.132105	A
0.0392902	A
0.0492927	A
0.0860532	A
0.0658789	A
0.0356298	A
0.0658789	A
0.079198	A
0.0492927	A
0.0713563	A
0.0278579	A
0.0684943	A
0.113007	A
0.0792485	A
0.0392902	A
0.0684943	A
0.0437358	A
0.0437078	A
0.0326005	A
0.0493243	A
0.0356527	A
0.0565094	A
0.104672	A
0.0792124	A
0.0493243	A
0.0795015	A
0.0660052	A
0.0564733	A
0.0795015	A
0.0393911	A
0.0875901	A
0.132727	A
0.113027	A
0.0660473	A
0.199701	A
0.199701	A
0.265184	A
0.0356986	A
0.0902982	A
0.0557555	A
0.198531	A
0.198851	A
0.112615	A
0.398491	A
0.079263	A
0.107018	A
0.0791114	A
0.0983582	A
0.0658488	A
0.265136	A
0.198151	A
0.0563033	A
0.112759	A
0.0791619	A
0.0791619	A
0.147643	A
0.0326425	A
0.0436317	A
0.0326425	A
0.0992397	A
0.0902982	A
0.0660473	A
0.0326425	A
0.0564733	A
0.0990682	A
0.0564011	A
0.0994294	A
0.0992397	A
0.0564733	A
0.169228	A
0.065921	A
0.112811	A
0.0492927	A
0.087534	A
0.132558	A
0.132727	A
0.0564011	A
0.0437078	A
0.0779178	A
0.065921	A
0.0564011	A
0.0985295	A
0.0436797	A
0.0659631	A
0.0875901	A
0.0300952	A
0.0326635	A
0.0393911	A
0.0565094	A
0.0326845	A
0.0393406	A
0.0875901	A
0.0660895	A
0.0326635	A
0.113244	A
0.199574	A
0.0564011	A
0.198851	A
0.399174	A
0.0992397	A
0.0564733	A
0.0562673	A
0.132329	A
0.0658067	A
0.0492702	A
0.0492071	A
0.0563033	A
0.198851	A
0.0984213	A
0.0563033	A
0.0791114	A
0.120406	A
0.0791619	A
0.0492702	A
0.0791114	A
0.112759	A
0.0792124	A
0.0833301	A
0.0795015	A
0.0392902	A
0.0436797	A
0.0392397	A
0.0392902	A
0.112759	A
0.796891	A
0.131623	A
0.0991313	A
0.112615	A
0.0563393	A
0.112759	A
0.112615	A
0.0658488	A
0.132329	A
0.0392217	A
0.0392217	A
0.398415	A
0.198151	A
0.132329	A
0.0791619	A
0.0791619	A
0.0791619	A
0.0740765	A
0.0793497	A
0.0660473	A
0.0493153	A
0.0492612	A
0.113079	A
0.0801161	A
0.0793497	A
0.0660473	A
0.0492612	A
0.0437919	A
0.0793497	A
0.0793497	A
0.0492612	A
0.0437919	A
0.0793497	A
0.079198	A
0.0992397	A
0.0659631	A
0.0356298	A
0.0793497	A
0.0781051	A
0.113079	A
0.0565094	A
0.0492612	A
0.0564991	A
0.0660473	A
0.0801161	A
0.0659631	A
0.0793497	A
0.0393298	A
0.0356298	A
0.0437358	A
0.0564011	A
0.148157	A
0.0874218	A
0.0874218	A
0.0493243	A
0.0658067	A
0.0781051	A
0.083693	A
0.0519417	A
0.0659631	A
0.0792485	A
0.0985295	A
0.0564991	A
0.0519417	A
0.0565094	A
0.0793497	A
0.0437078	A
0.0437078	A
0.0392649	A
0.0899676	A
0.399862	A
0.0565094	A
0.0895676	A
0.199127	A
0.113172	A
0.158813	A
0.0994927	A
0.198874	A
0.399862	A
0.113244	A
0.132896	A
0.132896	A
0.100951	A
0.0658789	A
0.0564372	A
0.199447	A
0.0991765	A
0.0937278	A
0.0492612	A
0.079198	A
0.0979411	A
0.0991765	A
0.0563651	A
0.065921	A
0.0993029	A
0.0991765	A
0.0564372	A
0.0564372	A
0.0564372	A
0.0564372	A
0.0563651	A
0.0991765	A
0.0903981	A
0.0991765	A
0.0991765	A
0.0393406	A
0.0565816	A
0.0565094	A
0.0494506	A
0.132558	A
0.0564733	A
0.0564733	A
0.399789	A
0.0601559	A
0.0991313	A
0.0991313	A
0.115579	A
0.0659631	A
0.0991313	A
0.0564372	A
0.0794509	A
0.132811	A
0.158986	A
0.0993029	A
0.065921	A
0.0493243	A
0.158986	A
0.0991313	A
0.0493243	A
0.0816962	A
0.132811	A
0.0659631	A
0.0519753	A
0.0661317	A
0.0660052	A
0.0493243	A
0.158509	A
0.0393154	A
0.0393154	A
0.0563033	A
0.0557555	A
0.0563033	A
0.0564733	A
0.0565094	A
0.0493243	A
0.0564372	A
0.0830686	A
0.0876302	A
0.0437358	A
0.0786364	A
0.087534	A
0.0794003	A
0.0660473	A
0.0659631	A
0.0565816	A
0.0565816	A
0.0438761	A
0.0565816	A
0.0566178	A
0.0393406	A
0.101704	A
0.0565816	A
0.0994927	A
0.0565816	A
0.0565558	A
0.0564733	A
0.0493558	A
0.065921	A
0.0491756	A
0.0300371	A
0.0876302	A
0.0493243	A
0.0564733	A
0.0356756	A
0.0564733	A
0.083693	A
0.0876302	A
0.0492702	A
0.0565816	A
0.0565816	A
0.0393406	A
0.0794003	A
0.0985926	A
0.0991313	A
0.199646	A
0.0938564	A
0.132727	A
0.0563651	A
0.0563033	A
0.0791619	A
0.0792124	A
0.0491756	A
0.0791114	A
0.198851	A
0.132329	A
0.0563033	A
0.112615	A
0.0791619	A
0.0493243	A
0.0493243	A
0.132558	A
0.0902982	A
0.132558	A
0.132811	A
0.09024	A
0.0794003	A
0.0660052	A
0.0660052	A
0.0564733	A
0.0564733	A
0.0564733	A
0.0393911	A
0.0493874	A
0.113027	A
0.0492612	A
0.0492612	A
0.0785859	A
0.0564011	A
0.0874218	A
0.0785859	A
0.0493243	A
0.112615	A
0.0392397	A
0.0356756	A
0.0326005	A
0.0492612	A
0.0437358	A
0.0652055	A
0.0987189	A
0.0874218	A
0.0874218	A
0.0874218	A
0.0563651	A
0.0300371	A
0.0356298	A
0.0563651	A
0.0874218	A
0.148157	A
0.0874218	A
0.0492612	A
0.0563651	A
0.132245	A
0.0659631	A
0.0793497	A
0.079198	A
0.132245	A
0.0658789	A
0.0660052	A
0.0874218	A
0.0563393	A
0.0565455	A
0.0437358	A
0.0392902	A
0.0326215	A
0.0437919	A
0.0392902	A
0.0392902	A
0.0437919	A
0.104672	A
0.0492071	A
0.0393154	A
0.0393334	A
0.0876863	A
0.0994927	A
0.0660473	A
0.0794509	A
0.0660473	A
