dnds	frequency
0.0886666219	A
0.1144842759	A
0.0000000000	A
0.0668965629	A
0.0000000000	A
0.0000000000	A
0.1333458721	A
0.0669801149	A
0.1008927799	A
0.1009555635	A
0.0668965629	A
0.0000000000	A
0.0000000000	A
0.1009555635	A
0.1144126941	A
0.0000000000	A
0.0000000000	A
0.0000000000	A
0.1008300189	A
0.0000000000	A
0.1330952677	A
0.1007045641	A
0.0669383314	A
0.1340562070	A
0.0669383314	A
0.1006418704	A
0.0887778792	A
0.0443849744	A
0.0573085282	A
0.1347632169	A
0.1148425693	A
0.1347632169	A
0.0572727318	A
0.0888335376	A
0.0887778792	A
0.0443849744	A
0.0573085282	A
0.1347632169	A
0.1148425693	A
0.1347632169	A
0.0572727318	A
0.0888335376	A
0.0661793538	A
0.0000000000	A
0.0000000000	A
0.0000000000	A
0.0805703462	A
0.0000000000	A
0.0000000000	A
0.0443571708	A
0.0398991469	A
0.0398991469	A
0.0661793538	A
0.0000000000	A
0.0000000000	A
0.0000000000	A
0.0805703462	A
0.0000000000	A
0.0000000000	A
0.0443571708	A
0.0398991469	A
0.0398991469	A
0.0443293771	A
0.0000000000	A
0.0000000000	A
0.0000000000	A
0.0444406115	A
0.0000000000	A
0.0000000000	A
0.0443571708	A
0.0500547291	A
0.0500547291	A
0.0000000000	A
0.0000000000	A
0.0999932408	A
0.0000000000	A
0.0000000000	A
0.0000000000	A
0.0805703462	A
0.0000000000	A
0.0000000000	A
0.1345121353	A
0.0500547291	A
0.0500547291	A
0.0000000000	A
0.0000000000	A
0.0000000000	A
0.1500034034	A
0.1344285012	A
0.1345121353	A
0.0804699973	A
0.1611557046	A
0.0804699973	A
0.4047189900	A
0.0000000000	A
0.1001185130	A
0.1001185130	A
0.0499921283	A
0.0499921283	A
0.0668965629	A
0.2021268505	A
0.0668965629	A
0.0000000000	A
0.0000000000	A
0.1009555635	A
0.0000000000	A
0.0669383314	A
0.1347632169	A
0.1347632169	A
0.0000000000	A
0.0000000000	A
0.0000000000	A
0.0000000000	A
0.0804699973	A
0.0499921283	A
0.0000000000	A
0.0000000000	A
0.0000000000	A
0.0501173748	A
0.0000000000	A
0.0000000000	A
0.0500234231	A
0.0573443373	A
0.0573443373	A
0.0000000000	A
0.0000000000	A
0.0000000000	A
0.0000000000	A
0.0572727318	A
0.0000000000	A
0.1714198738	A
0.1004539235	A
0.2017504411	A
0.1005791990	A
0.2014278752	A
0.1005791990	A
0.2010516351	A
0.1144126941	A
0.1144126941	A
0.0571296744	A
0.0571296744	A
0.0802695145	A
0.1342613229	A
0.8085103462	A
0.1005791990	A
0.0668130706	A
0.1714198738	A
0.1004539235	A
0.2017504411	A
0.1005791990	A
0.2014278752	A
0.1005791990	A
0.2010516351	A
0.1144126941	A
0.1144126941	A
