copy	genus	GCF
1	Acinetobacter baumannii	304
1	Acinetobacter bereziniae	3
1	Acinetobacter calcoaceticus	5
1	Acinetobacter guillouiae	2
1	Acinetobacter haemolyticus	14
1	Acinetobacter indicus	19
1	Acinetobacter johnsonii	19
1	Acinetobacter junii	8
1	Acinetobacter lactucae	2
1	Acinetobacter lwoffii	11
1	Acinetobacter nosocomialis	11
1	Acinetobacter pittii	32
1	Acinetobacter radioresistens	5
1	Acinetobacter schindleri	6
1	Acinetobacter seifertii	25
1	Acinetobacter soli	2
1	Acinetobacter towneri	6
1	Acinetobacter ursingii	3
1	Acinetobacter variabilis	4
1	Acinetobacter wuhouensis	2
1	Actinobacillus delphinicola	1
1	Actinobacillus equuli	1
1	Actinobacillus pleuropneumoniae	1
1	Actinobacillus porcitonsillarum	1
1	Actinobacillus suis	1
1	Aeromonas caviae	1
1	Aeromonas encheleia	1
1	Aeromonas enteropelogenes	1
1	Aeromonas media	1
1	Aeromonas rivuli	1
1	Aeromonas salmonicida	1
1	Arsenophonus nasoniae	1
1	Atlantibacter hermannii	1
1	Basfia succiniciproducens	1
1	Bibersteinia trehalosi	1
1	Bisgaardia hudsonensis	1
1	Brenneria goodwinii	1
1	Brenneria izadpanahii	1
1	Brenneria nigrifluens	1
1	Brenneria rubrifaciens	1
1	Buttiauxella agrestis	1
1	Cardiobacterium hominis	1
1	Cedecea lapagei	1
1	Cedecea neteri	1
1	Chania multitudinisentens	1
1	Chlamydia trachomatis	1
1	Citrobacter amalonaticus	1
1	Citrobacter arsenatis	1
1	Citrobacter cronae	1
1	Citrobacter freundii	1
1	Citrobacter koseri	1
1	Citrobacter pasteurii	1
1	Citrobacter portucalensis	1
1	Citrobacter rodentium	1
1	Citrobacter sedlakii	1
1	Citrobacter telavivensis	1
1	Citrobacter tructae	1
1	Citrobacter werkmanii	1
1	Citrobacter youngae	1
1	Cronobacter condimenti	1
1	Cronobacter dublinensis	1
1	Cronobacter malonaticus	1
1	Cronobacter muytjensii	1
1	Cronobacter sakazakii	1
1	Cronobacter universalis	1
1	Dichelobacter nodosus	1
1	Dickeya aquatica	1
1	Dickeya chrysanthemi	1
1	Dickeya dadantii	1
1	Dickeya dianthicola	1
1	Dickeya fangzhongdai	1
1	Dickeya parazeae	1
1	Dickeya poaceiphila	1
1	Dickeya solani	1
1	Dickeya zeae	1
1	Enterobacter asburiae	1
1	Enterobacter bugandensis	1
1	Enterobacter cancerogenus	1
1	Enterobacter chengduensis	1
1	Enterobacter cloacae	1
1	Enterobacter ludwigii	1
1	Enterobacter oligotrophicus	1
1	Enterobacter roggenkampii	1
1	Enterobacter sichuanensis	1
1	Enterobacter soli	1
1	Erwinia amylovora	1
1	Erwinia billingiae	1
1	Erwinia gerundensis	1
1	Erwinia persicina	1
1	Erwinia pyrifoliae	1
1	Erwinia tasmaniensis	1
1	Erwinia tracheiphila	1
1	Escherichia albertii	1
1	Escherichia coli	2
1	Escherichia fergusonii	1
1	Frederiksenia canicola	1
1	Frischella perrara	1
1	Gibbsiella quercinecans	1
1	Glaesserella parasuis	1
1	Grimontia hollisae	1
1	Haemophilus aegyptius	1
1	Haemophilus haemolyticus	1
1	Haemophilus parahaemolyticus	1
1	Histophilus somni	1
1	Klebsiella aerogenes	1
1	Klebsiella grimontii	1
1	Klebsiella huaxiensis	1
1	Klebsiella michiganensis	1
1	Klebsiella oxytoca	1
1	Klebsiella pneumoniae	1
1	Klebsiella quasipneumoniae	1
1	Klebsiella quasivariicola	1
1	Klebsiella variicola	1
1	Kluyvera ascorbata	1
1	Kluyvera intermedia	1
1	Kosakonia arachidis	1
1	Kosakonia cowanii	1
1	Kosakonia oryzae	1
1	Kosakonia pseudosacchari	1
1	Kosakonia radicincitans	1
1	Kosakonia sacchari	1
1	Legionella clemsonensis	1
1	Legionella geestiana	1
1	Legionella hackeliae	1
1	Legionella jordanis	1
1	Legionella lansingensis	1
1	Legionella spiritensis	1
1	Lelliottia amnigena	1
1	Lonsdalea britannica	1
1	Lonsdalea populi	1
1	Mannheimia bovis	1
1	Mannheimia granulomatis	1
1	Mannheimia haemolytica	1
1	Mannheimia ovis	1
1	Mannheimia pernigra	1
1	Mannheimia varigena	1
1	Mixta gaviniae	1
1	Mixta intestinalis	1
1	Moraxella bovoculi	3
1	Moraxella nonliquefaciens	2
1	Musicola paradisiaca	1
1	Oceanisphaera avium	1
1	Oceanisphaera profunda	1
1	Otariodibacter oris	1
1	Pantoea agglomerans	1
1	Pantoea alhagi	1
1	Pantoea ananatis	1
1	Pantoea dispersa	1
1	Pantoea eucalypti	1
1	Pantoea eucrina	1
1	Pantoea stewartii	1
1	Pantoea vagans	1
1	Pasteurella atlantica	1
1	Pasteurella canis	1
1	Pasteurella dagmatis	1
1	Pasteurella multocida	1
1	Pasteurella skyensis	1
1	Pectobacterium aquaticum	1
1	Pectobacterium aroidearum	1
1	Pectobacterium atrosepticum	1
1	Pectobacterium brasiliense	1
1	Pectobacterium carotovorum	1
1	Pectobacterium odoriferum	1
1	Pectobacterium parmentieri	1
1	Pectobacterium parvum	1
1	Pectobacterium polaris	1
1	Pectobacterium punjabense	1
1	Pectobacterium versatile	1
1	Pectobacterium wasabiae	1
1	Photorhabdus akhurstii	1
1	Photorhabdus asymbiotica	1
1	Photorhabdus laumondii	1
1	Photorhabdus thracensis	1
1	Phytobacter diazotrophicus	1
1	Phytobacter ursingii	1
1	Plesiomonas shigelloides	1
1	Pluralibacter gergoviae	1
1	Providencia heimbachae	1
1	Providencia rettgeri	1
1	Providencia sneebia	1
1	Pseudescherichia vulneris	1
1	Pseudoalteromonas phenolica	2
1	Pseudomonas aeruginosa	9
1	Pseudomonas alcaligenes	3
1	Pseudomonas alkylphenolica	2
1	Pseudomonas amygdali	8
1	Pseudomonas antarctica	2
1	Pseudomonas arsenicoxydans	2
1	Pseudomonas asiatica	2
1	Pseudomonas atacamensis	2
1	Pseudomonas azotoformans	4
1	Pseudomonas balearica	3
1	Pseudomonas brassicacearum	8
1	Pseudomonas cannabina	2
1	Pseudomonas cerasi	2
1	Pseudomonas chlororaphis	59
1	Pseudomonas cichorii	3
1	Pseudomonas citronellolis	2
1	Pseudomonas congelans	2
1	Pseudomonas coronafaciens	3
