copy	genus	GCF
1	Acinetobacter baumannii	302
1	Acinetobacter bereziniae	3
1	Acinetobacter calcoaceticus	5
1	Acinetobacter guillouiae	2
1	Acinetobacter haemolyticus	2
1	Acinetobacter indicus	19
1	Acinetobacter johnsonii	18
1	Acinetobacter junii	5
1	Acinetobacter lactucae	2
1	Acinetobacter lwoffii	10
1	Acinetobacter nosocomialis	11
1	Acinetobacter pittii	12
1	Acinetobacter radioresistens	5
1	Acinetobacter schindleri	6
1	Acinetobacter seifertii	25
1	Acinetobacter towneri	6
1	Acinetobacter ursingii	3
1	Acinetobacter variabilis	4
1	Acinetobacter wuhouensis	2
1	Alteromonas australica	1
1	Alteromonas macleodii	9
1	Alteromonas mediterranea	16
1	Alteromonas stellipolaris	4
1	Campylobacter jejuni	1
1	Caulobacter vibrioides	1
1	Escherichia coli	2
1	Halomonas hydrothermalis	1
1	Halomonas meridiana	3
1	Halomonas piezotolerans	2
1	Halomonas titanicae	3
1	Marinobacter adhaerens	2
1	Marinobacter nauticus	2
1	Marinomonas primoryensis	2
1	Moraxella osloensis	4
1	Pseudoalteromonas agarivorans	2
1	Pseudoalteromonas carrageenovora	3
1	Pseudoalteromonas marina	1
1	Pseudoalteromonas phenolica	2
1	Pseudoalteromonas piscicida	1
1	Pseudomonas alcaligenes	3
1	Pseudomonas amygdali	1
1	Pseudomonas asiatica	2
1	Pseudomonas fragi	1
1	Pseudomonas fulva	3
1	Pseudomonas juntendi	2
1	Pseudomonas monteilii	9
1	Pseudomonas oryzihabitans	3
1	Pseudomonas otitidis	2
1	Pseudomonas parafulva	1
1	Pseudomonas plecoglossicida	3
1	Pseudomonas protegens	1
1	Pseudomonas psychrotolerans	1
1	Pseudomonas putida	34
1	Pseudomonas savastanoi	1
1	Pseudomonas simiae	1
1	Thiopseudomonas alkaliphila	7
2	Acinetobacter baumannii	1
2	Acinetobacter haemolyticus	12
2	Acinetobacter junii	4
2	Acinetobacter pittii	20
2	Acinetobacter soli	2
2	Alteromonas australica	1
2	Azotobacter chroococcum	3
2	Azotobacter vinelandii	3
2	Halomonas hydrothermalis	1
2	Halomonas venusta	3
2	Klebsiella pneumoniae	1
2	Marinobacter salarius	2
2	Pseudomonas aeruginosa	1
2	Pseudomonas alkylphenolica	2
2	Pseudomonas amygdali	7
2	Pseudomonas antarctica	2
2	Pseudomonas azotoformans	4
2	Pseudomonas brassicacearum	1
2	Pseudomonas cannabina	2
2	Pseudomonas cerasi	2
2	Pseudomonas chlororaphis	25
2	Pseudomonas cichorii	3
2	Pseudomonas congelans	2
2	Pseudomonas coronafaciens	3
2	Pseudomonas corrugata	3
2	Pseudomonas fluorescens	21
2	Pseudomonas fragi	5
2	Pseudomonas frederiksbergensis	1
2	Pseudomonas fulva	1
2	Pseudomonas granadensis	2
2	Pseudomonas koreensis	2
2	Pseudomonas libanensis	2
2	Pseudomonas lundensis	4
2	Pseudomonas lurida	2
2	Pseudomonas mediterranea	1
2	Pseudomonas mendocina	4
2	Pseudomonas mosselii	3
2	Pseudomonas mucidolens	2
2	Pseudomonas orientalis	5
2	Pseudomonas otitidis	1
2	Pseudomonas poae	3
2	Pseudomonas protegens	1
2	Pseudomonas psychrotolerans	2
2	Pseudomonas putida	9
2	Pseudomonas rhodesiae	4
2	Pseudomonas savastanoi	4
2	Pseudomonas sessilinigenes	2
2	Pseudomonas simiae	3
2	Pseudomonas stutzeri	4
2	Pseudomonas synxantha	11
2	Pseudomonas syringae	40
2	Pseudomonas taetrolens	2
2	Pseudomonas tolaasii	2
2	Pseudomonas trivialis	2
2	Pseudomonas veronii	4
2	Pseudomonas viridiflava	7
2	Pseudomonas yamanorum	3
2	Psychrobacter cryohalolentis	2
3	Cellvibrio japonicus	4
3	Pseudomonas aeruginosa	5
3	Pseudomonas atacamensis	2
3	Pseudomonas balearica	3
3	Pseudomonas brassicacearum	6
3	Pseudomonas chlororaphis	34
3	Pseudomonas citronellolis	2
3	Pseudomonas entomophila	3
3	Pseudomonas fluorescens	12
3	Pseudomonas frederiksbergensis	1
3	Pseudomonas knackmussii	1
3	Pseudomonas koreensis	1
3	Pseudomonas kribbensis	1
3	Pseudomonas lalkuanensis	2
3	Pseudomonas mediterranea	1
3	Pseudomonas mendocina	3
3	Pseudomonas moraviensis	2
3	Pseudomonas ogarae	2
3	Pseudomonas parafulva	2
3	Pseudomonas protegens	21
3	Pseudomonas putida	4
3	Pseudomonas stutzeri	26
3	Pseudomonas thivervalensis	3
3	Thalassolituus oleivorans	3
4	Pseudomonas aeruginosa	383
4	Pseudomonas arsenicoxydans	2
4	Pseudomonas brassicacearum	1
4	Pseudomonas fluorescens	5
4	Pseudomonas frederiksbergensis	1
4	Pseudomonas knackmussii	1
4	Pseudomonas kribbensis	1
4	Pseudomonas mandelii	3
4	Pseudomonas orientalis	1
4	Pseudomonas psychrophila	2
5	Pseudomonas umsongensis	3
