copy	genus	GCF
1	Acinetobacter baumannii	302
1	Acinetobacter bereziniae	3
1	Acinetobacter calcoaceticus	5
1	Acinetobacter guillouiae	2
1	Acinetobacter haemolyticus	14
1	Acinetobacter indicus	19
1	Acinetobacter johnsonii	19
1	Acinetobacter junii	9
1	Acinetobacter lactucae	2
1	Acinetobacter lwoffii	11
1	Acinetobacter nosocomialis	11
1	Acinetobacter pittii	32
1	Acinetobacter radioresistens	5
1	Acinetobacter schindleri	6
1	Acinetobacter seifertii	25
1	Acinetobacter soli	2
1	Acinetobacter towneri	6
1	Acinetobacter variabilis	4
1	Acinetobacter wuhouensis	2
1	Alteromonas macleodii	9
1	Alteromonas mediterranea	16
1	Alteromonas stellipolaris	4
1	Azotobacter chroococcum	3
1	Azotobacter vinelandii	3
1	Cellvibrio japonicus	4
1	Escherichia coli	2
1	Idiomarina loihiensis	2
1	Klebsiella pneumoniae	1
1	Marinobacter adhaerens	2
1	Marinobacter nauticus	2
1	Marinobacter salarius	2
1	Pseudoalteromonas tunicata	2
1	Pseudomonas alcaligenes	3
1	Pseudomonas balearica	3
1	Pseudomonas cerasi	1
1	Pseudomonas citronellolis	2
1	Pseudomonas lalkuanensis	2
1	Pseudomonas mendocina	7
1	Pseudomonas otitidis	3
1	Pseudomonas sessilinigenes	2
1	Pseudomonas stutzeri	30
1	Salmonella enterica	1
1	Shewanella algae	22
1	Shewanella baltica	11
1	Shewanella cyperi	2
1	Shewanella decolorationis	2
1	Shewanella marisflavi	2
1	Shewanella oneidensis	2
1	Shewanella putrefaciens	9
1	Shigella flexneri	1
1	Thalassolituus oleivorans	3
1	Thiopseudomonas alkaliphila	7
2	Alteromonas australica	2
2	Pseudoalteromonas agarivorans	2
2	Pseudoalteromonas aliena	2
2	Pseudoalteromonas carrageenovora	3
2	Pseudoalteromonas issachenkonii	2
2	Pseudoalteromonas marina	2
2	Pseudoalteromonas shioyasakiensis	2
2	Pseudoalteromonas translucida	2
2	Pseudomonas aeruginosa	14
2	Pseudomonas knackmussii	2
3	Pseudomonas aeruginosa	374
4	Pseudomonas aeruginosa	1
