copy	genus	GCF
1	Acinetobacter baumannii	303
1	Acinetobacter bereziniae	3
1	Acinetobacter calcoaceticus	5
1	Acinetobacter guillouiae	2
1	Acinetobacter haemolyticus	14
1	Acinetobacter indicus	19
1	Acinetobacter johnsonii	18
1	Acinetobacter junii	9
1	Acinetobacter lactucae	2
1	Acinetobacter lwoffii	10
1	Acinetobacter nosocomialis	11
1	Acinetobacter pittii	32
1	Acinetobacter radioresistens	5
1	Acinetobacter schindleri	6
1	Acinetobacter seifertii	25
1	Acinetobacter soli	2
1	Acinetobacter towneri	6
1	Acinetobacter ursingii	3
1	Acinetobacter variabilis	4
1	Acinetobacter wuhouensis	2
1	Alteromonas australica	1
1	Alteromonas macleodii	9
1	Alteromonas mediterranea	16
1	Alteromonas stellipolaris	4
1	Azotobacter chroococcum	3
1	Azotobacter vinelandii	3
1	Caulobacter vibrioides	1
1	Escherichia coli	2
1	Halomonas hydrothermalis	1
1	Halomonas meridiana	3
1	Halomonas piezotolerans	2
1	Halomonas titanicae	3
1	Klebsiella pneumoniae	1
1	Marinobacter adhaerens	2
1	Marinobacter nauticus	2
1	Marinobacter salarius	2
1	Marinomonas primoryensis	2
1	Pseudoalteromonas agarivorans	2
1	Pseudoalteromonas carrageenovora	3
1	Pseudoalteromonas marina	1
1	Pseudomonas aeruginosa	3
1	Pseudomonas alkylphenolica	2
1	Pseudomonas amygdali	7
1	Pseudomonas antarctica	2
1	Pseudomonas arsenicoxydans	2
1	Pseudomonas asiatica	2
1	Pseudomonas atacamensis	2
1	Pseudomonas azotoformans	4
1	Pseudomonas balearica	3
1	Pseudomonas brassicacearum	8
1	Pseudomonas cannabina	2
1	Pseudomonas cerasi	2
1	Pseudomonas chlororaphis	58
1	Pseudomonas cichorii	3
1	Pseudomonas congelans	2
1	Pseudomonas coronafaciens	2
1	Pseudomonas corrugata	3
1	Pseudomonas entomophila	3
1	Pseudomonas fluorescens	33
1	Pseudomonas fragi	5
1	Pseudomonas frederiksbergensis	3
1	Pseudomonas fulva	3
1	Pseudomonas granadensis	2
1	Pseudomonas juntendi	2
1	Pseudomonas knackmussii	2
1	Pseudomonas koreensis	3
1	Pseudomonas kribbensis	2
1	Pseudomonas lalkuanensis	2
1	Pseudomonas libanensis	1
1	Pseudomonas lundensis	4
1	Pseudomonas lurida	2
1	Pseudomonas mandelii	3
1	Pseudomonas mediterranea	2
1	Pseudomonas mendocina	7
1	Pseudomonas monteilii	9
1	Pseudomonas moraviensis	2
1	Pseudomonas mosselii	3
1	Pseudomonas mucidolens	2
1	Pseudomonas ogarae	2
1	Pseudomonas orientalis	6
1	Pseudomonas oryzihabitans	3
1	Pseudomonas otitidis	3
1	Pseudomonas parafulva	3
1	Pseudomonas plecoglossicida	3
1	Pseudomonas poae	2
1	Pseudomonas protegens	10
1	Pseudomonas psychrophila	2
1	Pseudomonas psychrotolerans	3
1	Pseudomonas putida	46
1	Pseudomonas rhodesiae	4
1	Pseudomonas savastanoi	5
1	Pseudomonas sessilinigenes	2
1	Pseudomonas simiae	3
1	Pseudomonas stutzeri	29
1	Pseudomonas synxantha	6
1	Pseudomonas syringae	39
1	Pseudomonas thivervalensis	3
1	Pseudomonas trivialis	2
1	Pseudomonas umsongensis	3
1	Pseudomonas veronii	4
1	Pseudomonas viridiflava	7
1	Pseudomonas yamanorum	2
1	Psychrobacter cryohalolentis	2
2	Cellvibrio japonicus	4
2	Halomonas hydrothermalis	1
2	Halomonas venusta	3
2	Pseudomonas aeruginosa	386
2	Pseudomonas chlororaphis	1
2	Pseudomonas citronellolis	2
2	Pseudomonas coronafaciens	1
2	Pseudomonas fluorescens	4
2	Pseudomonas fulva	1
2	Pseudomonas libanensis	1
2	Pseudomonas poae	1
2	Pseudomonas protegens	13
2	Pseudomonas putida	1
2	Pseudomonas stutzeri	1
2	Pseudomonas synxantha	5
2	Pseudomonas syringae	1
2	Pseudomonas taetrolens	2
2	Pseudomonas tolaasii	2
2	Pseudomonas yamanorum	1
2	Thalassolituus oleivorans	3
