copy	genus	GCF
2	Azotobacter chroococcum	3
1	Azotobacter vinelandii	3
1	Halomonas hydrothermalis	1
1	Halomonas titanicae	3
1	Halomonas venusta	3
1	Marinobacter salarius	2
1	Marinomonas primoryensis	2
1	Mycobacterium tuberculosis	1
1	Pseudoalteromonas piscicida	2
1	Pseudomonas aeruginosa	7
1	Pseudomonas alcaligenes	3
1	Pseudomonas alkylphenolica	2
1	Pseudomonas amygdali	8
1	Pseudomonas antarctica	2
1	Pseudomonas arsenicoxydans	2
1	Pseudomonas asiatica	2
1	Pseudomonas atacamensis	2
1	Pseudomonas azotoformans	4
1	Pseudomonas brassicacearum	7
1	Pseudomonas cannabina	2
1	Pseudomonas cerasi	2
1	Pseudomonas chlororaphis	59
1	Pseudomonas cichorii	3
1	Pseudomonas citronellolis	1
1	Pseudomonas congelans	2
1	Pseudomonas coronafaciens	3
1	Pseudomonas corrugata	3
1	Pseudomonas entomophila	3
1	Pseudomonas fluorescens	37
1	Pseudomonas fragi	6
1	Pseudomonas frederiksbergensis	3
1	Pseudomonas fulva	4
1	Pseudomonas granadensis	2
1	Pseudomonas juntendi	2
1	Pseudomonas knackmussii	2
1	Pseudomonas koreensis	3
1	Pseudomonas kribbensis	2
1	Pseudomonas lalkuanensis	2
1	Pseudomonas libanensis	2
1	Pseudomonas lundensis	3
1	Pseudomonas lurida	2
1	Pseudomonas mandelii	3
1	Pseudomonas mediterranea	1
1	Pseudomonas mendocina	7
1	Pseudomonas monteilii	9
1	Pseudomonas moraviensis	2
1	Pseudomonas mosselii	3
1	Pseudomonas mucidolens	2
1	Pseudomonas ogarae	2
1	Pseudomonas orientalis	6
1	Pseudomonas oryzihabitans	3
1	Pseudomonas otitidis	3
1	Pseudomonas parafulva	3
1	Pseudomonas plecoglossicida	3
1	Pseudomonas poae	3
1	Pseudomonas protegens	21
1	Pseudomonas psychrophila	2
1	Pseudomonas psychrotolerans	3
1	Pseudomonas putida	45
1	Pseudomonas rhodesiae	4
1	Pseudomonas savastanoi	5
1	Pseudomonas sessilinigenes	2
1	Pseudomonas simiae	4
1	Pseudomonas stutzeri	16
1	Pseudomonas synxantha	11
1	Pseudomonas syringae	40
1	Pseudomonas taetrolens	2
1	Pseudomonas thivervalensis	3
1	Pseudomonas tolaasii	2
1	Pseudomonas trivialis	2
1	Pseudomonas umsongensis	3
1	Pseudomonas veronii	4
1	Pseudomonas viridiflava	7
1	Pseudomonas yamanorum	3
1	Shewanella putrefaciens	4
2	Pseudomonas aeruginosa	378
2	Pseudomonas stutzeri	4
